CODIGO SKU;PRODUCTO;MARCA;SERIE;PRECIO DE VENTA;STOCK INICIAL;ENTRADAS;SALIDAS;STOCK VIGENTE;CONTADOS
RYG-COD-0004;CODOS DE VENTEO;ESTANDAR;;10;30;0;0;30;NO CONTADO
RYG-CMP-0001;COMPUTADORA DE GAS;LANDIRENZO;;450;1;0;0;1;NO CONTADO
RYG-CMP-0002;COMPUTADORA DE GAS;LOVATO;;450;1;0;0;1;NO CONTADO
RYG-CMP-0003;COMPUTADORA DE GAS;AEB;;450;29;0;23;6;NO CONTADO
RYG-CNT-0001;CONECTOR ALTERNADOR;CHEVROLET SAIL;;20;8;0;0;8;NO CONTADO
RYG-CNT-0002;CONECTOR DE BOBINA;CHEVROLET SAIL;;20;3;20;4;19;NO CONTADO
RYG-CNT-0003;CONECTOR DE BOBINA;TOYOTA 4E;;20;11;0;2;9;NO CONTADO
RYG-CNT-0004;CONECTOR DE BOBINA;CHEVROLET SPARK, TICCO ( 4 PIN);;20;10;0;0;10;NO CONTADO
RYG-CNT-0005;CONECTOR DE BOBINA;CHEVROLET AVEO SPARK;;20;9;0;0;9;NO CONTADO
RYG-CNT-0006;CONECTOR DE BOBINA;DONGFEN IAC 3PINES;;20;13;0;2;11;NO CONTADO
RYG-CNT-0007;CONECTOR DE BOBINA;GELLY, LIFAN;;20;19;0;0;19;NO CONTADO
RYG-CNT-0008;CONECTOR DE BOBINA;HYUNDAI ACCENT 1.6;;20;14;0;1;13;NO CONTADO
RYG-CNT-0009;CONECTOR DE BOBINA;KIA RIO 2012;;20;8;0;1;7;NO CONTADO
RYG-CNT-0010;CONECTOR DE BOBINA;KIA RIO 2014-2016;27350-2B000;120;3;0;0;3;NO CONTADO
RYG-CNT-0011;CONECTOR DE BOBINA;NISSAN;;120;7;0;2;5;NO CONTADO
RYG-CNT-0012;CONECTOR DE BOBINA;SONATA;27350-23460;120;0;2;0;2;NO CONTADO
RYG-CNT-0013;CONECTOR DE BOBINA;TOYOTA YARIS -PROBOX;;20;20;0;1;19;NO CONTADO
